                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83151,                0.46484,                 2.0633,                0.99393,                0.98435,                0.99457,                0.94838,                0.67346,                0.32219,                  1.984,               0.000948,               0.000948,               0.000948
                     36,                0.82685,                0.45643,                 2.0561,                0.98967,                0.98062,                0.99441,                0.94844,                0.65129,                0.30029,                 1.9717,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.8253,                0.45299,                 2.0502,                0.98674,                0.99265,                0.99489,                0.95548,                0.64185,                0.28844,                 1.9356,              0.0009197,              0.0009197,              0.0009197
                     38,                0.81431,                0.44404,                 2.0481,                0.99178,                 0.9899,                0.99486,                0.95674,                0.63425,                0.28199,                 1.9427,             0.00090556,             0.00090556,             0.00090556
                     39,                0.80932,                0.44453,                 2.0544,                0.99463,                0.99306,                0.99491,                0.94903,                0.63593,                 0.2831,                 1.9398,             0.00089141,             0.00089141,             0.00089141
                     40,                0.81412,                 0.4425,                 2.0554,                0.99009,                0.99265,                0.99486,                0.94534,                0.67527,                0.30139,                 1.9866,             0.00087726,             0.00087726,             0.00087726
                     41,                0.81897,                0.43877,                 2.0519,                0.97561,                0.98105,                0.99411,                0.95351,                0.63448,                0.31916,                 1.9436,             0.00086312,             0.00086312,             0.00086312
                     42,                0.79701,                0.44049,                 2.0357,                0.98961,                0.99262,                0.99488,                0.95895,                0.59994,                0.27555,                 1.9319,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.7934,                0.43335,                 2.0496,                 0.9952,                0.98813,                0.99488,                0.95331,                0.65648,                0.27642,                   1.95,             0.00083482,             0.00083482,             0.00083482
                     44,                0.79037,                  0.428,                 2.0324,                0.97926,                0.98367,                0.99423,                0.95811,                0.60531,                0.28689,                 1.9282,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.7872,                0.42777,                 2.0463,                0.99299,                0.98942,                0.99496,                0.95283,                0.63872,                0.28759,                 1.9466,             0.00080653,             0.00080653,             0.00080653
                     46,                0.77306,                0.41436,                 2.0328,                0.98657,                0.98767,                0.99459,                0.95363,                0.62778,                0.30518,                 1.9377,             0.00079238,             0.00079238,             0.00079238
                     47,                0.78923,                0.42793,                  2.047,                0.99331,                0.98735,                0.99484,                0.96072,                0.58606,                0.25944,                 1.9213,             0.00077823,             0.00077823,             0.00077823
                     48,                0.76669,                0.41245,                 2.0319,                0.99156,                0.98667,                 0.9947,                 0.9564,                0.59544,                0.30814,                 1.9164,             0.00076409,             0.00076409,             0.00076409
                     49,                0.77309,                0.42215,                  2.046,                0.99355,                0.99241,                0.99493,                0.95403,                0.63443,                 0.2713,                 1.9574,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.7599,                0.40776,                 2.0325,                0.98925,                 0.9946,                0.99412,                0.95642,                0.59333,                0.27325,                  1.921,             0.00073579,             0.00073579,             0.00073579
                     51,                0.75739,                0.40905,                 2.0226,                0.99331,                0.99445,                0.99491,                0.95988,                0.61346,                0.28133,                 1.9096,             0.00072164,             0.00072164,             0.00072164
                     52,                0.75279,                0.40364,                  2.029,                0.98906,                0.99227,                0.99471,                0.95639,                0.59124,                0.28742,                 1.9225,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.7243,                0.39074,                 2.0093,                0.99131,                0.98724,                0.99448,                0.95769,                 0.5809,                0.27927,                 1.9144,             0.00069335,             0.00069335,             0.00069335
                     54,                0.74239,                0.39372,                 2.0204,                0.99272,                0.99145,                0.99492,                0.95889,                0.57858,                0.27916,                 1.9129,              0.0006792,              0.0006792,              0.0006792
                     55,                0.72863,                0.39483,                 2.0114,                0.99925,                0.99424,                  0.995,                0.95846,                0.60968,                 0.2543,                 1.9329,             0.00066506,             0.00066506,             0.00066506
                     56,                0.73767,                0.38516,                  2.017,                0.99501,                0.98431,                0.99478,                 0.9554,                0.61405,                0.28378,                  1.942,             0.00065091,             0.00065091,             0.00065091
                     57,                0.72694,                0.38382,                 2.0172,                0.99217,                0.98779,                 0.9947,                0.96246,                0.58394,                0.27717,                 1.9213,             0.00063676,             0.00063676,             0.00063676
                     58,                0.73029,                0.38898,                  2.025,                0.99325,                0.99204,                0.99486,                0.96108,                0.57652,                0.27894,                  1.919,             0.00062262,             0.00062262,             0.00062262
                     59,                0.71755,                 0.3806,                 2.0068,                0.99042,                0.98224,                0.99433,                0.95687,                0.59816,                0.33415,                 1.9276,             0.00060847,             0.00060847,             0.00060847
                     60,                0.72223,                0.38818,                 2.0074,                0.98471,                0.97406,                0.99185,                0.95624,                 0.5779,                0.45364,                 1.9217,             0.00059432,             0.00059432,             0.00059432
                     61,                0.72899,                0.39192,                 2.0259,                0.99416,                0.99159,                0.99483,                0.95924,                0.59084,                0.31064,                 1.9271,             0.00058017,             0.00058017,             0.00058017
                     62,                0.70276,                0.36467,                 1.9996,                0.99102,                0.99512,                0.99485,                0.95752,                0.58207,                0.28316,                 1.9301,             0.00056603,             0.00056603,             0.00056603
                     63,                0.71054,                0.37683,                 2.0103,                0.98115,                0.98054,                0.99412,                0.95267,                0.60522,                0.30977,                 1.9381,             0.00055188,             0.00055188,             0.00055188
                     64,                0.71428,                0.36983,                 2.0028,                0.99257,                0.98886,                0.99489,                0.96377,                0.56791,                0.25935,                 1.9114,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69511,                0.36098,                 1.9937,                0.99197,                0.98952,                0.99464,                0.96492,                0.55437,                0.29356,                 1.8984,             0.00052359,             0.00052359,             0.00052359
                     66,                0.70251,                0.36701,                 2.0033,                0.98462,                0.98328,                0.99336,                 0.9617,                0.58236,                0.44776,                 1.9164,             0.00050944,             0.00050944,             0.00050944
                     67,                0.69898,                0.36507,                 2.0039,                0.99144,                0.98685,                0.99394,                0.96138,                0.56186,                0.36822,                 1.9114,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.6928,                  0.356,                 2.0031,                 0.9783,                0.98492,                0.99243,                0.95908,                0.56756,                0.44443,                 1.9078,             0.00048114,             0.00048114,             0.00048114
                     69,                0.68141,                0.35918,                 1.9982,                0.98822,                0.98016,                0.99168,                0.96152,                0.57054,                0.46579,                 1.9079,               0.000467,               0.000467,               0.000467
                     70,                0.69022,                0.35892,                  2.001,                  0.993,                0.99273,                0.99421,                0.96242,                 0.5626,                0.32451,                 1.9017,             0.00045285,             0.00045285,             0.00045285
                     71,                0.68423,                0.35571,                 1.9941,                0.98987,                0.98833,                0.99444,                0.96258,                0.55737,                0.27544,                 1.9029,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67777,                0.36798,                 1.9924,                0.95765,                0.95659,                0.98715,                0.95047,                0.60405,                0.46803,                 1.9406,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.6693,                0.34947,                 1.9941,                0.98892,                0.98214,                0.98947,                0.95723,                0.55556,                0.45793,                 1.9018,             0.00041041,             0.00041041,             0.00041041
                     74,                0.66513,                0.34605,                 1.9816,                0.98757,                0.98465,                0.99069,                0.96018,                0.55949,                0.45224,                  1.901,             0.00039626,             0.00039626,             0.00039626
